"ID","Item ID","Item Name","Item Code","Serial Number 1","Serial Number 2","PCB Warranty","Component Warranty","Machine Warranty","Free Services","Installation Status"
"67","6","SPLIT AC IDCACS24K5","8908012210481","ADMIN-S1-67","ADMIN-S2-67","","","","0","Not Requested"
"69","6","SPLIT AC IDCACS24K5","8908012210481","","","","","","0","Not Requested"
"71","6","SPLIT AC IDCACS24K5","8908012210481","","","","","","0","Not Requested"
"73","6","SPLIT AC IDCACS24K5","8908012210481","","","","","","0","Not Requested"
"75","6","SPLIT AC IDCACS24K5","8908012210481","","","","","","0","Not Requested"
"68","12","WINDOW AC IDCACW24K3E","8908012210542","ADMIN-S1-68","ADMIN-S2-68","","","","0","Not Requested"
"70","12","WINDOW AC IDCACW24K3E","8908012210542","","","","","","0","Not Requested"
"72","12","WINDOW AC IDCACW24K3E","8908012210542","","","","","","0","Not Requested"
"74","12","WINDOW AC IDCACW24K3E","8908012210542","","","","","","0","Not Requested"
"76","12","WINDOW AC IDCACW24K3E","8908012210542","","","","","","0","Not Requested"
